GeneID,log2(FC)M2,P-valueM2,P-adjM2,log2(FC)M4,P-valueM4,P-adjM4
ENSG00000232353,NA,NA,NA,NA,NA,NA
ENSG00000232354,-0.033529308,0.510323102,NA,0.027126576,0.560293707,NA
ENSG00000232355,NA,NA,NA,NA,NA,NA
ENSG00000232356,NA,NA,NA,NA,NA,NA
ENSG00000232357,NA,NA,NA,NA,NA,NA
ENSG00000232358,NA,NA,NA,-0.006362426,0.824428122,NA
ENSG00000232359,NA,NA,NA,NA,NA,NA
ENSG00000232360,NA,NA,NA,NA,NA,NA
ENSG00000232361,NA,NA,NA,NA,NA,NA
ENSG00000232362,0.02482779,0.852418059,NA,-0.008228186,0.942733287,NA
ENSG00000232363,-0.033529308,0.510323102,NA,-0.027705064,0.552455318,NA
ENSG00000232366,NA,NA,NA,NA,NA,NA
ENSG00000232367,NA,NA,NA,NA,NA,NA
ENSG00000232368,0.02066282,0.85006219,NA,-0.139965858,0.079709803,NA
ENSG00000232369,0.012946606,0.763648132,NA,NA,NA,NA
ENSG00000232370,NA,NA,NA,NA,NA,NA
ENSG00000232372,-0.114504073,0.313288488,NA,-0.035337152,0.681912092,NA
ENSG00000232373,NA,NA,NA,NA,NA,NA
ENSG00000232374,NA,NA,NA,NA,NA,NA
